지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조 시간(hr)
146,2014-01-01,5,-.3,731,10.3,1503,,2.1,60.1,7.9
146,2014-01-02,3,-1.4,709,9.7,1251,,1,60,7.9
146,2014-01-03,4,-1.6,701,12.4,1316,,.8,42.9,6
146,2014-01-04,1.5,-2.6,2349,6.6,1543,,1.3,52.8,7.9
146,2014-01-05,-.4,-5.3,729,5.5,1526,,1,62.1,7.6
146,2014-01-06,.4,-4.8,602,7.9,1421,,1.1,57.3,7.8
146,2014-01-07,3,-3.4,741,9.5,1502,,.8,50.4,6.2
146,2014-01-08,2.3,-1.5,2354,4.6,1532,.5,1.8,61.8,.7
146,2014-01-09,-4.2,-7.8,2359,-1,1346,,3.5,35.1,7.9
146,2014-01-10,-2.2,-9,214,3.1,1401,,1.2,54.4,4.8
146,2014-01-11,.3,-2.9,2336,4.6,1522,,1.2,63.3,4.6
146,2014-01-12,.3,-3.4,121,6,1302,,1.8,57.4,3.1
146,2014-01-13,-3.5,-8.3,754,1,1555,,2,36.6,7.9
146,2014-01-14,-3.4,-9.7,713,3.4,1407,,1.2,45.4,7.9
146,2014-01-15,-2.5,-8,726,4.1,1236,,1.2,54,8
146,2014-01-16,-.8,-6.7,736,6.5,1333,,1.2,64.3,6.7
146,2014-01-17,.6,-4.2,708,6.7,1300,,.9,70.9,5.2
146,2014-01-18,-.1,-3.7,2351,5.1,1330,0,2.1,62.6,5.1
146,2014-01-19,-1.4,-8.1,738,4.9,1405,,1.1,47.1,7.6
146,2014-01-20,2.4,-1.5,2350,6.2,1440,2,3,71.6,1.4
146,2014-01-21,-2.6,-5,2333,-.2,1351,2.1,2.4,72.8,2.3
146,2014-01-22,-2.7,-7.8,723,3.5,1349,,1.3,68.5,7.5
146,2014-01-23,-1.1,-7.4,744,7,1601,,1,63.9,8.6
146,2014-01-24,6.8,-2,1,12.7,1431,,1.8,58,4.9
146,2014-01-25,9,3.3,2342,13.4,909,0,2.8,75.1,0
146,2014-01-26,.6,-3.1,2358,5.5,1607,,2,54.1,8.8
146,2014-01-27,1.6,-5.3,709,10.7,1442,,1.2,50,8.8
146,2014-01-28,3.7,-2.1,2348,10,1425,0,1.5,62.3,5.3
146,2014-01-29,4.3,-5.5,728,13,1352,0,.9,53.5,5.4
146,2014-01-30,6.6,3.5,2355,10,2,2,1.5,91.9,0
146,2014-01-31,5,-2.1,742,13.7,1506,,.8,63.3,8.6
146,2014-02-01,14.2,6.8,17,19.3,1635,0,2.6,57.3,5.8
146,2014-02-02,9.4,6.6,2157,14.6,1,.2,1.6,97,0
146,2014-02-03,1.3,-4.7,2355,7.1,125,,3.7,50.8,4.6
