"일자","입출구","00시","01시","02시","03시","04시","05시","06시","07시","08시","09시","10시","11시","12시","13시","14시","15시","16시","17시","18시","19시","20시","21시","22시","23시"
"2018.07.07","입구","1,035","802","697","830","1,131","2,015","3,479","4,750","6,239","8,109","9,342","9,166","8,590","9,413","10,217","10,598","10,359","10,125","8,642","6,487","5,766","4,824","2,900","1,805"
"2018.07.08","입구","1,130","771","581","612","832","1,462","2,552","3,222","4,468","6,631","8,842","9,976","9,630","11,417","12,167","12,237","11,179","10,191","8,560","7,315","6,186","4,476","2,598","1,336"
"2018.07.09","입구","847","626","655","935","1,512","2,861","4,473","6,386","6,360","6,480","6,586","6,333","5,794","6,431","7,100","6,698","6,262","6,467","5,746","3,526","2,877","2,359","1,683","1,096"
"2018.07.10","입구","777","601","711","883","1,260","2,148","3,662","5,501","6,614","7,167","7,010","6,550","5,942","7,072","7,479","7,337","7,847","7,768","6,483","4,199","3,319","2,770","1,959","1,251"
"2018.07.11","입구","846","696","754","915","1,279","3,304","3,870","5,568","6,695","6,953","6,832","6,368","6,130","7,051","7,759","7,396","7,471","7,656","6,780","4,203","3,388","2,788","1,958","1,300"
"2018.07.12","입구","860","728","780","909","1,352","2,270","3,764","5,589","6,698","6,915","7,038","6,605","6,273","6,994","7,822","7,707","7,548","7,559","6,646","4,164","3,513","2,992","2,085","1,357"
"2018.07.13","입구","868","721","753","974","1,399","2,241","3,838","5,521","6,776","7,325","7,534","7,262","6,872","8,248","8,371","8,474","8,875","9,895","9,654","6,327","4,682","3,662","2,737","1,754"
"2018.07.14","입구","1,211","948","778","944","1,278","2,250","3,477","4,964","6,563","8,162","9,386","9,158","8,610","9,302","10,067","9,978","9,841","9,672","8,154","6,253","5,690","4,787","3,739","2,393"
"2018.07.15","입구","1,375","886","703","637","819","1,644","2,527","3,634","4,973","7,098","9,103","10,228","10,186","11,113","11,433","10,924","10,338","9,709","8,564","7,382","6,665","5,196","2,941","1,569"
"2018.07.16","입구","935","713","803","1,023","1,809","5,100","5,366","7,062","6,891","6,923","7,122","6,699","6,230","7,025","7,557","7,413","7,253","7,418","6,572","4,158","3,376","2,915","1,893","1,208"
"2018.07.17","입구","915","716","810","1,053","1,426","2,306","3,904","5,692","6,392","6,934","7,278","6,800","6,125","7,038","7,399","7,417","7,592","7,637","6,635","4,204","3,368","2,845","2,059","1,343"
"2018.07.18","입구","912","703","785","1,001","1,441","2,268","3,863","5,626","6,831","6,841","7,724","6,629","6,085","7,049","7,503","7,386","7,513","7,816","6,604","4,221","3,341","2,891","2,076","1,251"
"2018.07.19","입구","929","754","761","990","1,399","2,408","3,942","6,171","6,758","7,183","7,254","6,718","6,368","7,095","7,776","7,585","7,633","7,790","6,813","4,324","3,610","2,956","2,197","1,399"
"2018.07.20","입구","953","800","817","1,003","1,403","2,265","3,771","5,302","6,651","7,061","7,815","7,672","7,089","8,125","8,436","8,496","8,866","9,785","9,654","6,284","4,622","3,557","2,564","2,356"
"2018.07.21","입구","1,197","948","781","899","1,355","2,250","3,653","4,855","6,415","8,048","9,192","8,937","8,320","9,060","9,319","9,265","9,311","9,267","7,877","5,858","5,246","4,457","3,214","3,542"
"2018.07.22","입구","1,213","865","654","647","850","1,530","2,589","3,452","4,867","7,160","8,660","9,975","9,814","10,624","10,933","10,103","9,684","9,189","8,118","7,248","6,067","4,519","3,032","1,639"
"2018.07.23","입구","912","737","749","1,050","1,858","3,332","5,350","6,883","6,810","7,533","7,283","7,142","6,568","7,025","7,796","7,842","7,069","7,322","6,455","4,251","3,432","2,705","2,001","1,322"
"2018.07.24","입구","889","744","821","1,047","1,495","2,291","3,832","5,591","6,543","7,047","7,465","7,083","6,582","7,184","7,647","7,783","8,000","7,727","6,728","4,418","3,538","2,951","2,231","1,321"
"2018.07.25","입구","966","779","794","1,061","1,402","2,269","3,878","5,493","6,659","7,098","7,541","7,047","6,549","7,438","7,765","7,392","7,440","7,740","6,816","4,374","3,398","2,715","2,089","1,356"
"2018.07.26","입구","959","765","848","1,044","1,466","2,457","3,832","5,634","6,695","7,415","7,963","7,677","6,993","7,673","8,072","7,874","7,617","7,783","6,983","4,504","3,688","3,016","2,244","1,372"
"2018.07.27","입구","982","739","862","1,095","1,402","2,351","3,750","5,440","6,601","7,367","8,052","7,897","7,517","8,485","8,812","8,623","8,892","9,773","9,501","6,493","4,911","3,724","2,788","1,829"
"2018.07.28","입구","1,266","976","879","1,109","1,403","2,311","3,726","4,972","6,551","8,473","9,896","10,205","9,167","9,815","9,860","9,525","9,573","9,548","7,823","5,921","5,123","4,292","3,047","1,825"
