"일자","입출구","00시","01시","02시","03시","04시","05시","06시","07시","08시","09시","10시","11시","12시","13시","14시","15시","16시","17시","18시","19시","20시","21시","22시","23시"
"2018.07.08","입구","1,130","771","581","612","832","1,462","2,552","3,222","4,468","6,631","8,842","9,976","9,630","11,417","12,167","12,237","11,179","10,191","8,560","7,315","6,186","4,476","2,598","1,336"
"2018.07.08","출구","1,548","1,039","905","766","637","967","1,873","2,872","3,541","5,268","7,068","8,495","8,493","8,093","8,306","8,319","8,890","8,469","7,598","6,344","5,142","4,368","3,342","2,142"
"2018.07.08","합계","2,678","1,810","1,486","1,378","1,469","2,429","4,425","6,094","8,009","11,899","15,910","18,471","18,123","19,510","20,473","20,556","20,069","18,660","16,158","13,659","11,328","8,844","5,940","3,478"
"2018.07.09","입구","847","626","655","935","1,512","2,861","4,473","6,386","6,360","6,480","6,586","6,333","5,794","6,431","7,100","6,698","6,262","6,467","5,746","3,526","2,877","2,359","1,683","1,096"
"2018.07.09","출구","1,322","836","564","518","642","1,445","3,516","6,794","7,789","5,921","6,466","7,139","6,348","6,665","6,663","6,360","6,128","6,150","5,858","4,214","2,971","2,601","2,094","1,408"
"2018.07.09","합계","2,169","1,462","1,219","1,453","2,154","4,306","7,989","13,180","14,149","12,401","13,052","13,472","12,142","13,096","13,763","13,058","12,390","12,617","11,604","7,740","5,848","4,960","3,777","2,504"
"2018.07.10","입구","777","601","711","883","1,260","2,148","3,662","5,501","6,614","7,167","7,010","6,550","5,942","7,072","7,479","7,337","7,847","7,768","6,483","4,199","3,319","2,770","1,959","1,251"
"2018.07.10","출구","1,058","718","605","576","699","1,456","3,146","6,018","7,532","6,901","7,683","7,554","6,660","7,208","7,068","6,751","6,770","6,709","6,630","4,741","3,484","2,921","2,250","1,624"
"2018.07.10","합계","1,835","1,319","1,316","1,459","1,959","3,604","6,808","11,519","14,146","14,068","14,693","14,104","12,602","14,280","14,547","14,088","14,617","14,477","13,113","8,940","6,803","5,691","4,209","2,875"
"2018.07.11","입구","846","696","754","915","1,279","3,304","3,870","5,568","6,695","6,953","6,832","6,368","6,130","7,051","7,759","7,396","7,471","7,656","6,780","4,203","3,388","2,788","1,958","1,300"
"2018.07.11","출구","1,076","771","645","623","722","1,727","3,077","5,942","7,335","6,454","7,111","7,075","6,629","7,340","7,290","7,054","6,710","7,262","6,649","4,854","3,438","2,913","2,263","1,699"
"2018.07.11","합계","1,922","1,467","1,399","1,538","2,001","5,031","6,947","11,510","14,030","13,407","13,943","13,443","12,759","14,391","15,049","14,450","14,181","14,918","13,429","9,057","6,826","5,701","4,221","2,999"
"2018.07.12","입구","860","728","780","909","1,352","2,270","3,764","5,589","6,698","6,915","7,038","6,605","6,273","6,994","7,822","7,707","7,548","7,559","6,646","4,164","3,513","2,992","2,085","1,357"
"2018.07.12","출구","1,216","769","609","614","669","1,410","3,802","5,766","7,235","6,738","7,243","7,201","6,810","7,422","7,395","7,072","6,948","7,403","6,779","5,007","3,658","3,085","2,436","1,844"
"2018.07.12","합계","2,076","1,497","1,389","1,523","2,021","3,680","7,566","11,355","13,933","13,653","14,281","13,806","13,083","14,416","15,217","14,779","14,496","14,962","13,425","9,171","7,171","6,077","4,521","3,201"
"2018.07.13","입구","868","721","753","974","1,399","2,241","3,838","5,521","6,776","7,325","7,534","7,262","6,872","8,248","8,371","8,474","8,875","9,895","9,654","6,327","4,682","3,662","2,737","1,754"
"2018.07.13","출구","1,204","822","653","631","711","1,476","3,269","5,899","7,097","6,754","7,509","7,943","7,210","7,728","8,091","8,246","8,216","9,140","9,816","8,589","6,757","5,841","4,545","3,440"
"2018.07.13","합계","2,072","1,543","1,406","1,605","2,110","3,717","7,107","11,420","13,873","14,079","15,043","15,205","14,082","15,976","16,462","16,720","17,091","19,035","19,470","14,916","11,439","9,503","7,282","5,194"
"2018.07.14","입구","1,211","948","778","944","1,278","2,250","3,477","4,964","6,563","8,162","9,386","9,158","8,610","9,302","10,067","9,978","9,841","9,672","8,154","6,253","5,690","4,787","3,739","2,393"
"2018.07.14","출구","2,166","1,418","1,122","1,040","919","1,701","3,127","5,070","6,850","8,533","10,408","12,060","12,061","10,883","10,986","11,019","10,908","10,844","9,867","7,727","5,764","5,043","4,037","2,841"
"2018.07.14","합계","3,377","2,366","1,900","1,984","2,197","3,951","6,604","10,034","13,413","16,695","19,794","21,218","20,671","20,185","21,053","20,997","20,749","20,516","18,021","13,980","11,454","9,830","7,776","5,234"
"2018.07.15","입구","1,375","886","703","637","819","1,644","2,527","3,634","4,973","7,098","9,103","10,228","10,186","11,113","11,433","10,924","10,338","9,709","8,564","7,382","6,665","5,196","2,941","1,569"
"2018.07.15","출구","1,838","1,133","822","724","617","1,126","1,995","3,041","4,251","5,635","7,340","8,656","9,847","7,952","8,084","8,307","8,482","8,340","7,701","6,334","5,421","4,647","3,412","2,406"
"2018.07.15","합계","3,213","2,019","1,525","1,361","1,436","2,770","4,522","6,675","9,224","12,733","16,443","18,884","20,033","19,065","19,517","19,231","18,820","18,049","16,265","13,716","12,086","9,843","6,353","3,975"
"2018.07.16","입구","935","713","803","1,023","1,809","5,100","5,366","7,062","6,891","6,923","7,122","6,699","6,230","7,025","7,557","7,413","7,253","7,418","6,572","4,158","3,376","2,915","1,893","1,208"
"2018.07.16","출구","1,435","885","599","612","786","1,800","4,247","7,705","8,461","6,599","7,112","7,657","7,185","7,215","7,151","6,950","6,630","7,035","6,615","4,860","3,335","2,910","2,324","1,527"
"2018.07.16","합계","2,370","1,598","1,402","1,635","2,595","6,900","9,613","14,767","15,352","13,522","14,234","14,356","13,415","14,240","14,708","14,363","13,883","14,453","13,187","9,018","6,711","5,825","4,217","2,735"
"2018.07.17","입구","915","716","810","1,053","1,426","2,306","3,904","5,692","6,392","6,934","7,278","6,800","6,125","7,038","7,399","7,417","7,592","7,637","6,635","4,204","3,368","2,845","2,059","1,343"
"2018.07.17","출구","1,083","809","627","600","745","1,615","3,268","6,126","7,330","6,618","7,373","7,568","6,622","7,192","7,017","7,052","6,914","7,308","6,658","4,854","3,391","2,976","2,414","1,688"
"2018.07.17","합계","1,998","1,525","1,437","1,653","2,171","3,921","7,172","11,818","13,722","13,552","14,651","14,368","12,747","14,230","14,416","14,469","14,506","14,945","13,293","9,058","6,759","5,821","4,473","3,031"
"2018.07.18","입구","912","703","785","1,001","1,441","2,268","3,863","5,626","6,831","6,841","7,724","6,629","6,085","7,049","7,503","7,386","7,513","7,816","6,604","4,221","3,341","2,891","2,076","1,251"
"2018.07.18","출구","1,127","779","622","574","800","1,521","3,131","6,066","7,206","6,439","7,471","7,677","6,624","7,118","7,218","6,924","6,721","7,315","7,058","5,065","3,557","3,069","2,355","1,682"
"2018.07.18","합계","2,039","1,482","1,407","1,575","2,241","3,789","6,994","11,692","14,037","13,280","15,195","14,306","12,709","14,167","14,721","14,310","14,234","15,131","13,662","9,286","6,898","5,960","4,431","2,933"
"2018.07.19","입구","929","754","761","990","1,399","2,408","3,942","6,171","6,758","7,183","7,254","6,718","6,368","7,095","7,776","7,585","7,633","7,790","6,813","4,324","3,610","2,956","2,197","1,399"
"2018.07.19","출구","1,166","788","678","616","760","1,538","3,427","6,318","7,302","6,494","7,352","7,684","6,776","7,381","7,507","7,104","7,052","7,424","7,040","5,009","3,790","3,149","2,427","1,734"
"2018.07.19","합계","2,095","1,542","1,439","1,606","2,159","3,946","7,369","12,489","14,060","13,677","14,606","14,402","13,144","14,476","15,283","14,689","14,685","15,214","13,853","9,333","7,400","6,105","4,624","3,133"
"2018.07.20","입구","953","800","817","1,003","1,403","2,265","3,771","5,302","6,651","7,061","7,815","7,672","7,089","8,125","8,436","8,496","8,866","9,785","9,654","6,284","4,622","3,557","2,564","2,356"
"2018.07.20","출구","1,250","857","764","679","794","1,609","3,245","5,960","7,210","6,695","7,496","7,984","7,248","7,628","8,380","8,430","8,538","9,222","9,910","8,196","6,419","5,321","4,460","3,676"
"2018.07.20","합계","2,203","1,657","1,581","1,682","2,197","3,874","7,016","11,262","13,861","13,756","15,311","15,656","14,337","15,753","16,816","16,926","17,404","19,007","19,564","14,480","11,041","8,878","7,024","6,032"
"2018.07.21","입구","1,197","948","781","899","1,355","2,250","3,653","4,855","6,415","8,048","9,192","8,937","8,320","9,060","9,319","9,265","9,311","9,267","7,877","5,858","5,246","4,457","3,214","3,542"
"2018.07.21","출구","2,131","1,448","1,014","998","1,011","1,845","3,301","5,082","6,490","8,605","10,329","11,925","10,822","9,980","10,313","10,112","9,911","10,336","9,094","7,396","5,476","4,788","3,772","3,893"
"2018.07.21","합계","3,328","2,396","1,795","1,897","2,366","4,095","6,954","9,937","12,905","16,653","19,521","20,862","19,142","19,040","19,632","19,377","19,222","19,603","16,971","13,254","10,722","9,245","6,986","7,435"
"2018.07.22","입구","1,213","865","654","647","850","1,530","2,589","3,452","4,867","7,160","8,660","9,975","9,814","10,624","10,933","10,103","9,684","9,189","8,118","7,248","6,067","4,519","3,032","1,639"
"2018.07.22","출구","1,718","1,064","793","772","729","1,085","2,032","2,944","3,936","5,560","7,286","8,598","8,248","7,839","8,002","7,980","8,057","8,158","7,271","6,110","4,979","4,454","3,382","2,343"
"2018.07.22","합계","2,931","1,929","1,447","1,419","1,579","2,615","4,621","6,396","8,803","12,720","15,946","18,573","18,062","18,463","18,935","18,083","17,741","17,347","15,389","13,358","11,046","8,973","6,414","3,982"
"2018.07.23","입구","912","737","749","1,050","1,858","3,332","5,350","6,883","6,810","7,533","7,283","7,142","6,568","7,025","7,796","7,842","7,069","7,322","6,455","4,251","3,432","2,705","2,001","1,322"
"2018.07.23","출구","1,386","939","671","610","775","1,737","4,245","7,723","8,347","7,909","7,017","7,826","7,344","7,387","7,506","7,044","6,860","6,885","6,575","4,862","3,583","2,985","2,387","1,719"
"2018.07.23","합계","2,298","1,676","1,420","1,660","2,633","5,069","9,595","14,606","15,157","15,442","14,300","14,968","13,912","14,412","15,302","14,886","13,929","14,207","13,030","9,113","7,015","5,690","4,388","3,041"
"2018.07.24","입구","889","744","821","1,047","1,495","2,291","3,832","5,591","6,543","7,047","7,465","7,083","6,582","7,184","7,647","7,783","8,000","7,727","6,728","4,418","3,538","2,951","2,231","1,321"
"2018.07.24","출구","1,205","795","704","600","805","1,585","3,469","6,254","7,649","6,678","7,653","7,794","7,040","7,444","7,405","7,077","7,031","7,130","6,846","5,033","3,755","3,064","2,427","1,808"
"2018.07.24","합계","2,094","1,539","1,525","1,647","2,300","3,876","7,301","11,845","14,192","13,725","15,118","14,877","13,622","14,628","15,052","14,860","15,031","14,857","13,574","9,451","7,293","6,015","4,658","3,129"
"2018.07.25","입구","966","779","794","1,061","1,402","2,269","3,878","5,493","6,659","7,098","7,541","7,047","6,549","7,438","7,765","7,392","7,440","7,740","6,816","4,374","3,398","2,715","2,089","1,356"
"2018.07.25","출구","1,204","823","655","635","787","1,534","3,136","6,041","7,116","6,518","7,330","7,653","6,953","7,392","7,594","7,185","6,972","7,509","6,941","5,149","3,750","2,994","2,524","1,821"
"2018.07.25","합계","2,170","1,602","1,449","1,696","2,189","3,803","7,014","11,534","13,775","13,616","14,871","14,700","13,502","14,830","15,359","14,577","14,412","15,249","13,757","9,523","7,148","5,709","4,613","3,177"
"2018.07.26","입구","959","765","848","1,044","1,466","2,457","3,832","5,634","6,695","7,415","7,963","7,677","6,993","7,673","8,072","7,874","7,617","7,783","6,983","4,504","3,688","3,016","2,244","1,372"
"2018.07.26","출구","1,296","841","681","622","829","1,530","3,266","6,063","7,286","6,687","7,777","8,529","7,599","7,835","7,908","7,545","7,451","7,444","7,072","5,521","3,949","3,472","2,589","2,017"
"2018.07.26","합계","2,255","1,606","1,529","1,666","2,295","3,987","7,098","11,697","13,981","14,102","15,740","16,206","14,592","15,508","15,980","15,419","15,068","15,227","14,055","10,025","7,637","6,488","4,833","3,389"
"2018.07.27","입구","982","739","862","1,095","1,402","2,351","3,750","5,440","6,601","7,367","8,052","7,897","7,517","8,485","8,812","8,623","8,892","9,773","9,501","6,493","4,911","3,724","2,788","1,829"
"2018.07.27","출구","1,215","876","713","621","817","1,666","3,277","5,974","7,057","6,833","7,793","8,457","7,943","9,025","8,612","8,721","8,781","9,566","9,573","8,903","6,795","5,785","4,946","3,924"
"2018.07.27","합계","2,197","1,615","1,575","1,716","2,219","4,017","7,027","11,414","13,658","14,200","15,845","16,354","15,460","17,510","17,424","17,344","17,673","19,339","19,074","15,396","11,706","9,509","7,734","5,753"
"2018.07.28","입구","1,266","976","879","1,109","1,403","2,311","3,726","4,972","6,551","8,473","9,896","10,205","9,167","9,815","9,860","9,525","9,573","9,548","7,823","5,921","5,123","4,292","3,047","1,825"
"2018.07.28","출구","2,616","1,635","1,429","1,072","1,066","1,866","3,328","5,354","7,034","8,837","10,926","12,841","12,072","11,303","11,120","11,179","10,444","10,399","11,617","7,527","5,552","4,606","3,606","2,421"
"2018.07.28","합계","3,882","2,611","2,308","2,181","2,469","4,177","7,054","10,326","13,585","17,310","20,822","23,046","21,239","21,118","20,980","20,704","20,017","19,947","19,440","13,448","10,675","8,898","6,653","4,246"
"2018.07.29","입구","1,124","757","593","657","876","1,714","2,640","3,640","5,170","7,758","9,790","10,975","10,004","11,064","11,833","11,210","10,452","9,606","8,301","7,557","6,901","5,375","3,267","1,742"
"2018.07.29","출구","1,640","1,102","746","737","696","1,178","1,920","3,186","4,706","6,475","8,645","10,375","10,074","9,264","9,335","9,660","9,054","9,230","8,042","6,757","5,528","4,875","3,689","2,510"
"2018.07.29","합계","2,764","1,859","1,339","1,394","1,572","2,892","4,560","6,826","9,876","14,233","18,435","21,350","20,078","20,328","21,168","20,870","19,506","18,836","16,343","14,314","12,429","10,250","6,956","4,252"
"2018.07.30","입구","1,033","745","859","1,122","1,884","3,339","7,708","6,831","7,394","8,674","9,882","10,185","8,756","9,289","9,763","9,378","8,672","8,564","7,445","5,193","4,310","3,422","2,336","1,451"
"2018.07.30","출구","1,540","953","659","683","809","1,762","4,317","7,286","8,469","7,516","8,702","10,469","10,231","9,563","9,635","9,301","8,361","8,374","7,780","5,822","4,433","3,531","2,941","2,077"
"2018.07.30","합계","2,573","1,698","1,518","1,805","2,693","5,101","12,025","14,117","15,863","16,190","18,584","20,654","18,987","18,852","19,398","18,679","17,033","16,938","15,225","11,015","8,743","6,953","5,277","3,528"
"2018.07.31","입구","1,010","764","781","973","1,422","2,308","3,707","5,482","6,781","7,984","9,241","9,316","8,451","9,069","9,205","9,099","9,509","9,461","8,104","5,645","4,635","3,546","2,431","1,628"
"2018.07.31","출구","1,336","876","696","641","839","1,432","3,197","5,820","7,279","7,181","8,407","9,076","8,549","9,017","8,743","8,592","9,110","8,689","8,290","6,380","4,983","4,108","3,384","2,639"
"2018.07.31","합계","2,346","1,640","1,477","1,614","2,261","3,740","6,904","11,302","14,060","15,165","17,648","18,392","17,000","18,086","17,948","17,691","18,619","18,150","16,394","12,025","9,618","7,654","5,815","4,267"
"2018.08.01","입구","1,140","754","837","1,012","1,453","2,403","3,938","5,727","7,099","8,531","9,936","10,034","8,830","9,095","9,496","9,310","8,896","8,942","7,875","5,659","4,616","3,660","2,509","1,595"
"2018.08.01","출구","1,808","1,146","830","761","862","1,650","3,342","6,175","7,688","7,710","9,526","10,885","10,576","10,227","9,970","10,550","9,380","9,255","8,622","6,658","4,983","4,186","3,469","2,565"
"2018.08.01","합계","2,948","1,900","1,667","1,773","2,315","4,053","7,280","11,902","14,787","16,241","19,462","20,919","19,406","19,322","19,466","19,860","18,276","18,197","16,497","12,317","9,599","7,846","5,978","4,160"
"2018.08.02","입구","1,058","886","759","921","1,349","2,185","3,832","5,777","7,401","8,757","10,053","10,392","9,266","9,811","10,351","9,434","9,482","9,370","8,320","5,849","5,012","3,685","2,415","1,515"
"2018.08.02","출구","1,670","1,114","858","754","870","1,560","3,470","6,134","8,040","8,313","9,966","11,310","11,043","10,425","10,112","9,714","9,387","10,355","8,723","6,851","5,142","4,253","3,327","2,542"
"2018.08.02","합계","2,728","2,000","1,617","1,675","2,219","3,745","7,302","11,911","15,441","17,070","20,019","21,702","20,309","20,236","20,463","19,148","18,869","19,725","17,043","12,700","10,154","7,938","5,742","4,057"
"2018.08.03","입구","1,092","809","757","902","1,378","2,302","3,829","5,731","7,202","9,021","10,961","11,602","10,111","11,081","11,308","10,945","12,476","11,202","10,654","7,527","6,442","4,618","3,106","1,993"
"2018.08.03","출구","1,750","1,058","847","796","876","1,577","3,083","5,574","7,298","7,957","9,784","11,381","11,338","11,069","11,227","10,756","11,557","11,327","11,707","9,658","7,592","6,396","4,999","3,573"
"2018.08.03","합계","2,842","1,867","1,604","1,698","2,254","3,879","6,912","11,305","14,500","16,978","20,745","22,983","21,449","22,150","22,535","21,701","24,033","22,529","22,361","17,185","14,034","11,014","8,105","5,566"
"2018.08.04","입구","1,348","988","885","916","1,297","2,274","3,657","5,115","6,968","9,741","11,855","12,361","11,492","11,899","11,938","11,366","11,318","10,666","8,788","7,592","6,784","5,369","3,873","2,285"
