location,lat,long
"Samcheon 3-dong, Wansan-guJeonju",35.796863,127.114254
"Nongsong-Dong, Jeonju ",35.824224,127.147953
"Hyoja 2(i)-dong, Jeonju",35.804862,127.114254
"Hyoja 1-dong, Jeonju",35.804723,127.123281
"Pungnam-dong, Jeonju",35.816805,127.148111
"Hoseong-dong, Jeonju",35.863133,127.149972
"Ua 2(i)-dong, Jeonju",35.838276,127.166359
"Pyeonghwa 2(i)-dong, Jeonju",35.799613,127.138919
"Ua 2(i)-dong, Jeonju",35.838276,127.166359
"Ua 1(il)-dong, Jeonju",35.849385,127.160998
"Palbok-dong, Jeonju",35.853578,127.106253
"Pyeonghwa 2(i)-dong, Jeonju",35.799613,127.138919
"Pyeonghwa 1-dong, Jeonju",35.798085,127.140308
"Junghwasan 2(i)-dong, Jeonju",35.82161,127.116392
"Inhu 1(il)-dong, Jeonju",35.831581,127.162582
"Jochon-dong, Jeonju",35.875158,127.076201
"Geumam 2(i)-dong, Jeonju",35.824224,127.147953
"Geumam 1(il)-dong, Jeonju",35.837413,127.133085
"Deogjin-dong, Jeonju",35.845357,127.120725
"Junghwasan 2(i)-dong, Jeonju",35.82161,127.116392
"Junghwasan 1(il)-dong, Jeonju",35.824224,127.147953
"Pyeonghwa 1(il)-dong, Jeonju",35.799613,127.138919
"Inhu 3(sam)-dong, Jeonju",35.82811,127.161194
"Junghwasan 1(il)-dong, Jeonju",35.824224,127.147953
"Jungang-dong, Jeonju",35.823554,127.140585
"Wansan-dong, Jeonju",35.809195,127.134863
"Seosin-dong, Jeonju",35.830887,127.115003
"Jang-dong, Jeonju",35.856029,127.05613
"Manseong-dong, Jeonju",35.840928,127.078358
"Yeoui-dong, Jeonju",35.85988,127.074341
"Gorang-dong, Jeonju",35.880266,127.087475
"Dongsan-dong, Jeonju",35.87102,127.074506
"Gorang-dong, Jeonju",35.880266,127.087475
"Inhu 2(i)-dong, Jeonju",35.831581,127.162582
"Inhu 1-dong, Jeonju",35.837553,127.156666
"Songcheon 2(i)-dong, Jeonju",35.824224,127.147953
"Jinbuk-dong, Jeonju",35.827887,127.131419
"Seoseohak-dong, Jeonju",35.805723,127.14864
"Songcheon 1-dong, Jeonju",35.824224,127.147953
"Hyoja 4-dong, Jeonju",35.81275,127.110449
"Hyoja 3-dong, Jeonju",35.804862,127.114254
"Samcheon 2-dong, Wansan-gu,Jeonju",35.796363,127.122281
"Samcheon 1-dong, Wansan-gu,Jeonju",35.800695,127.121837
"Dongseohak-dong, Wansan-gu,Jeonju",35.809501,127.152195
