기점 종점,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
전북,서울,16497.6,2016,16497.6,16497.6,0,0,0
전북,부산,3538.6,2016,3538.6,3538.6,0,0,0
전북,대구,1843.7,2016,1843.7,1843.7,0,0,0
전북,인천,4140.7,2016,4140.7,4140.7,0,0,0
전북,광주,27781.9,2016,27781.9,27781.9,0,0,0
전북,대전,15523.4,2016,15523.4,15523.4,0,0,0
전북,울산,1159.1,2016,1159.1,1159.1,0,0,0
전북,경기,15179.4,2016,15179.4,15179.4,0,0,0
전북,강원,614.7,2016,614.7,614.7,0,0,0
전북,충북,6964.9,2016,6964.9,6964.9,0,0,0
전북,충남,25532.6,2016,25532.6,25532.6,0,0,0
전북,전북,529443.9,2016,529443.9,529443.9,0,0,0
전북,전남,29345.5,2016,29345.5,29345.5,0,0,0
전북,경북,2293,2016,2293,2293,0,0,0
전북,경남,9275.8,2016,9275.8,9275.8,0,0,0
전북,제주,306.3,2016,306.3,306.3,0,0,0
전북,세종,1187.6,2016,1187.6,1187.6,0,0,0
전북,총합계,690628.8,2016,690628.8,690628.8,0,0,0
