"행정동별(1)",행정동별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정동별(1)",행정동별(2),총계,총계,총계,총계,총계,0-4 세,0-4 세,0-4 세,0-4 세,0-4 세,5-9 세,5-9 세,5-9 세,5-9 세,5-9 세,10-14 세,10-14 세,10-14 세,10-14 세,10-14 세,15-19 세,15-19 세,15-19 세,15-19 세,15-19 세,20-24 세,20-24 세,20-24 세,20-24 세,20-24 세,25-29 세,25-29 세,25-29 세,25-29 세,25-29 세,30-34 세,30-34 세,30-34 세,30-34 세,30-34 세,35-39 세,35-39 세,35-39 세,35-39 세,35-39 세,40-44 세,40-44 세,40-44 세,40-44 세,40-44 세,45-49 세,45-49 세,45-49 세,45-49 세,45-49 세,50-54 세,50-54 세,50-54 세,50-54 세,50-54 세,55-59 세,55-59 세,55-59 세,55-59 세,55-59 세,60-64 세,60-64 세,60-64 세,60-64 세,60-64 세,65-69 세,65-69 세,65-69 세,65-69 세,65-69 세,70-74 세,70-74 세,70-74 세,70-74 세,70-74 세,75-79 세,75-79 세,75-79 세,75-79 세,75-79 세,80-84 세,80-84 세,80-84 세,80-84 세,80-84 세,85-89세,85-89세,85-89세,85-89세,85-89세,90-94세,90-94세,90-94세,90-94세,90-94세,95-99세,95-99세,95-99세,95-99세,95-99세,100세이상,100세이상,100세이상,100세이상,100세이상
"행정동별(1)",행정동별(2),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%)
"합계",소계,651744,321048,330696,100.0,97.1,28103,14420,13683,4.3,105.4,32574,16822,15752,5.0,106.8,34849,18098,16751,5.3,108.0,48532,24846,23686,7.4,104.9,50245,26442,23803,7.7,111.1,38911,20223,18688,6.0,108.2,40893,20548,20345,6.3,101.0,47599,23564,24035,7.3,98.0,53961,26234,27727,8.3,94.6,58283,28822,29461,8.9,97.8,51317,25352,25965,7.9,97.6,49135,23827,25308,7.5,94.1,35787,17328,18459,5.5,93.9,27596,13041,14555,4.2,89.6,20504,9300,11204,3.1,83.0,16165,6726,9439,2.5,71.3,10451,3700,6751,1.6,54.8,4836,1369,3467,0.7,39.5,1492,312,1180,0.2,26.4,383,48,335,0.1,14.3,128,26,102,0.0,25.5
"완산구",소계,361845,176778,185067,-,-,14899,7638,7261,-,-,17170,8910,8260,-,-,19184,10057,9127,-,-,27662,14115,13547,-,-,28422,14856,13566,-,-,21618,11183,10435,-,-,22309,11196,11113,-,-,25423,12509,12914,-,-,29586,14037,15549,-,-,32821,15991,16830,-,-,29055,14147,14908,-,-,27958,13319,14639,-,-,20414,9840,10574,-,-,15447,7318,8129,-,-,11217,5056,6161,-,-,8845,3629,5216,-,-,5846,1991,3855,-,-,2819,769,2050,-,-,851,169,682,-,-,238,34,204,-,-,61,14,47,-,-
"완산구",중앙동,9221,4690,4531,-,-,213,118,95,-,-,280,140,140,-,-,264,125,139,-,-,383,210,173,-,-,594,317,277,-,-,572,306,266,-,-,453,249,204,-,-,534,296,238,-,-,570,326,244,-,-,675,356,319,-,-,757,413,344,-,-,945,439,506,-,-,825,409,416,-,-,710,347,363,-,-,539,262,277,-,-,460,207,253,-,-,276,114,162,-,-,117,40,77,-,-,33,12,21,-,-,12,3,9,-,-,9,1,8,-,-
"완산구",풍남동,5315,2695,2620,-,-,80,53,27,-,-,98,55,43,-,-,117,63,54,-,-,215,109,106,-,-,305,156,149,-,-,303,155,148,-,-,283,164,119,-,-,282,163,119,-,-,340,208,132,-,-,365,209,156,-,-,417,218,199,-,-,526,255,271,-,-,527,254,273,-,-,446,212,234,-,-,400,170,230,-,-,289,133,156,-,-,183,71,112,-,-,93,33,60,-,-,33,7,26,-,-,6,5,1,-,-,7,2,5,-,-
"완산구",노송동,12358,6070,6288,-,-,242,126,116,-,-,298,157,141,-,-,321,169,152,-,-,583,285,298,-,-,744,410,334,-,-,672,388,284,-,-,642,325,317,-,-,783,427,356,-,-,814,442,372,-,-,914,469,445,-,-,950,455,495,-,-,1260,606,654,-,-,1082,495,587,-,-,948,435,513,-,-,813,374,439,-,-,635,275,360,-,-,387,152,235,-,-,192,64,128,-,-,53,13,40,-,-,15,1,14,-,-,10,2,8,-,-
"완산구",완산동,5639,2842,2797,-,-,131,78,53,-,-,137,80,57,-,-,173,96,77,-,-,299,152,147,-,-,348,190,158,-,-,278,147,131,-,-,276,157,119,-,-,326,182,144,-,-,412,238,174,-,-,441,245,196,-,-,414,212,202,-,-,521,253,268,-,-,470,236,234,-,-,438,200,238,-,-,354,157,197,-,-,306,128,178,-,-,192,66,126,-,-,98,21,77,-,-,17,3,14,-,-,7,-,7,-,-,1,1,-,-,-
"완산구",동서학동,7423,3749,3674,-,-,174,82,92,-,-,235,130,105,-,-,281,146,135,-,-,375,184,191,-,-,515,264,251,-,-,381,228,153,-,-,356,195,161,-,-,451,257,194,-,-,467,245,222,-,-,528,290,238,-,-,597,319,278,-,-,722,346,376,-,-,667,327,340,-,-,526,279,247,-,-,404,181,223,-,-,374,154,220,-,-,236,86,150,-,-,100,31,69,-,-,23,4,19,-,-,7,-,7,-,-,4,1,3,-,-
