기점 종점,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
서울,서울,0,2016,0,0,0,0,0
서울,부산,20107,2016,20107,20107,0,0,0
서울,대구,14976.8,2016,14976.8,14976.8,0,0,0
서울,인천,484825,2016,484825,484825,0,0,0
서울,광주,10269.1,2016,10269.1,10269.1,0,0,0
서울,대전,23307.1,2016,23307.1,23307.1,0,0,0
서울,울산,5474.8,2016,5474.8,5474.8,0,0,0
서울,경기,3056542,2016,3056542,3056542,0,0,0
서울,강원,69384,2016,69384,69384,0,0,0
서울,충북,44875.7,2016,44875.7,44875.7,0,0,0
서울,충남,66764.4,2016,66764.4,66764.4,0,0,0
서울,전북,17132.9,2016,17132.9,17132.9,0,0,0
서울,전남,10659.2,2016,10659.2,10659.2,0,0,0
서울,경북,18696.3,2016,18696.3,18696.3,0,0,0
서울,경남,13662,2016,13662,13662,0,0,0
서울,제주,22679.3,2016,22679.3,22679.3,0,0,0
서울,세종,6829.6,2016,6829.6,6829.6,0,0,0
서울,총합계,3886185.1,2016,3886185.1,3886185.1,0,0,0
부산,서울,18557.2,2016,18557.2,18557.2,0,0,0
부산,부산,0,2016,0,0,0,0,0
부산,대구,12952.8,2016,12952.8,12952.8,0,0,0
부산,인천,1850.4,2016,1850.4,1850.4,0,0,0
부산,광주,2448,2016,2448,2448,0,0,0
부산,대전,3100,2016,3100,3100,0,0,0
부산,울산,58528.9,2016,58528.9,58528.9,0,0,0
부산,경기,6261.4,2016,6261.4,6261.4,0,0,0
부산,강원,1163.7,2016,1163.7,1163.7,0,0,0
부산,충북,1427.5,2016,1427.5,1427.5,0,0,0
부산,충남,1673.3,2016,1673.3,1673.3,0,0,0
부산,전북,3847.1,2016,3847.1,3847.1,0,0,0
부산,전남,9004.9,2016,9004.9,9004.9,0,0,0
부산,경북,20138,2016,20138,20138,0,0,0
부산,경남,390326.5,2016,390326.5,390326.5,0,0,0
부산,제주,5601.7,2016,5601.7,5601.7,0,0,0
부산,세종,134.3,2016,134.3,134.3,0,0,0
부산,총합계,537015.8,2016,537015.8,537015.8,0,0,0
대구,서울,14820.5,2016,14820.5,14820.5,0,0,0
대구,부산,11662.8,2016,11662.8,11662.8,0,0,0
대구,대구,0,2016,0,0,0,0,0
대구,인천,3199.5,2016,3199.5,3199.5,0,0,0
대구,광주,1137.9,2016,1137.9,1137.9,0,0,0
대구,대전,5045.8,2016,5045.8,5045.8,0,0,0
대구,울산,6183,2016,6183,6183,0,0,0
대구,경기,8409.4,2016,8409.4,8409.4,0,0,0
대구,강원,2616.8,2016,2616.8,2616.8,0,0,0
대구,충북,4040.7,2016,4040.7,4040.7,0,0,0
대구,충남,2857.5,2016,2857.5,2857.5,0,0,0
대구,전북,1611.1,2016,1611.1,1611.1,0,0,0
대구,전남,3110.3,2016,3110.3,3110.3,0,0,0
대구,경북,414587.1,2016,414587.1,414587.1,0,0,0
