"축제명",개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
"완주와일드푸드축제",고산자연휴양림일원,2017-09-22,2017-09-24,"와일드 음식&체험(천렵, 화덕 등) 감자삼굿, 개구리&메뚜기 튀김, 곤충음식 먹거리체험 등",와일드푸드축제추진위원회,완주군,"문화체육관광부, 전라북도",063-290-2623,http://wildfoodfestival.kr,홈페이지 참고,전라북도 완주군 고산면 고산휴양림로 89,전라북도 완주군 고산면 오산리 808,35.9731102,127.2326591,2017-08-29
"부안마실축제",부안읍 일원,2017-05-04,2017-05-06,"부래만복 퍼레이드, 위도 띠뱃놀이 재현, 황금오디를 찾아라  등",부안 마실축제제전위원회,부안 마실축제제전위원회,,,,,전라북도 부안군 부안읍 예술회관길 11,전라북도 부안군 부안읍 서외리 455-51,35.4327511,126.4331716,2017-08-29
"고창갯벌축제",심원면 만돌갯벌체험장,2017-07-28,2017-07-30,"풍어제, 갯벌체험, 어망체험, 염전체험 풍천장어잡기 체험, 숭어잡기 체험 등",고창갯벌축제위원회,고창갯벌축제위원회,"해양수산부, 전라북도, 고창군, 고창수산업협동조합, 한빛원전",063-561-2132,http://mud-exp.gochang.go.kr,동호해수욕장,전라북도 고창군 심원면 애향갯벌로 320,전라북도 고창군 심원면 만돌리 960-27,35.5301760,126.5150720,2017-08-29
"동학농민혁명 무장기포기념제와 무장읍성",동학농민혁명 무장기포지 및 무장,2017-04-25,2017-04-25,"출정식, 포고문 낭독 등",동학농민혁명무장기포기념제와무장읍성축제위원회,동학농민혁명무장기포기념제와무장읍성축제위원회,"고창군, 한빛원자력본부, 한수원㈜",063-560-2461,http://donghak.gochang.go.kr,동학진격로 걷기 등,전라북도 고창군 무장면 무장읍성길 45,전라북도 고창군 무장면 성내리 156,35.4182270,126.5574430,2017-08-29
"동학농민혁명 무장기포기념제와 무장읍성",동학농민혁명 무장기포지 및 무장,2017-04-25,2017-04-25,"출정식, 포고문 낭독 등",동학농민혁명무장기포기념제와무장읍성축제위원회,동학농민혁명무장기포기념제와무장읍성축제위원회,"고창군, 한빛원자력본부, 한수원㈜",063-560-2461,http://donghak.gochang.go.kr,"동학농민혁명무장기포기념제, 무장읍성축제 등",전라북도 고창군 공음면 선운대로 308,전라북도 고창군 공음면 구암리 589-2,35.4036610,126.4955500,2017-08-29
"미당문학제",미당시문학관,2016-10-28,2016-10-30,달집소원달기 등 체험행사,2015 미당문학제 추진위원회,2015 미당문학제 추진위원회,고창군,063-560-8058,,"기념식, 공연, 농산물판매부스, 미당기념관",전라북도 고창군 부안면 질마재로 2-8,전라북도 고창군 부안면 선운리 231,35.5355350,126.6100250,2017-08-29
"선운문화제",선운산도립공원,2016-09-24,2016-09-24,"가을산사 클레식의 울림, 상생 콘서트 등",선운사,선운사,고창군,063-561-1422,www.seonunsa.org,"선운사도립공원, 고창고인돌유적지",전라북도 고창군 아산면 선운사로 250,전라북도 고창군 아산면 삼인리 500,35.4969330,126.5782290,2017-08-29
"고창청보리밭축제",고창군 공음면 학원농장 일원,2017-04-22,2017-05-14,청보리밭 테마 길 걷기보릿골 체험마당 등,고창청보리밭축제위윈회,고창청보리밭축제위윈회,고창군,063-562-9897,http://chungbori.gochang.go.kr,"기념식, 공연, 판매부스 등",전라북도 고창군 공음면 학원농장길 158-6,전라북도 고창군 공음면 선동리 산119-1,35.3762980,126.5428050,2017-08-29
"고창모양성제",모양성일원,2017-10-25,2017-10-29,"거리 퍼레이드, 답성놀이, 강강술래, 병영문화 체험 등",(사)모양성보존회,(사)모양성보존회,"고창군, 한빛원자력, 국방부",063-560-2457,http://moyangfestival.gochang.go.kr,"고창군민의날, 기념식",전라북도 고창군 고창읍 중앙로 292,전라북도 고창군 고창읍 교촌리 55-2,35.4353850,126.7068950,2017-08-29
"장류축제",전통고추장민속마을,2017-10-20,2017-10-22,"순창고추장 상설체험 마당, 순창고추장 임금님진상행렬, 2015인분 고추장떡볶이 만들기 등",장류축제추진위원회,장류축제추진위원회,순창군,063-650-1624,www.jangfestival.co.kr,강천산군립공원전통고추장민속마을,전라북도 순창군 순창읍 민속마을길 6-3,전라북도 순창군 순창읍 백산리 265-64,35.2207171,127.0635222,2017-08-29
