쉼터명,법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
숭효당경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,3,2,N,N,N,-,전라북도 전주시 완산구 용머리로 68,전라북도 전주시 완산구 효자동1가 282-20,전라북도 전주시 완산구청,063-220-5156,35.805549,127.117612,2018-02-20
송정경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,128,32,3,2,N,N,N,-,전라북도 전주시 완산구 성지산2길 21-5,,전라북도 전주시 완산구청,063-220-5156,35.805845,127.117498,2018-02-20
효성경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,82,20,5,1,N,N,N,-,전라북도 전주시 완산구 신봉3길 17-14,전라북도 전주시 완산구 효자동1가 610-0,전라북도 전주시 완산구청,063-220-5156,35.8118935,127.115904,2018-02-20
비사벌경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,49,12,2,1,N,N,N,-,전라북도 전주시 완산구 서원로 258,전라북도 전주시 완산구 효자동1가 635-0,전라북도 전주시 완산구청,063-220-5156,35.811369,127.122206,2018-02-20
남양송정경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,33,8,4,2,N,N,N,-,전라북도 전주시 완산구 용머리로 78,전라북도 전주시 완산구 효자동1가 280-2,전라북도 전주시 완산구청,063-220-5156,35.805673,127.1186753,2018-02-20
성원골드경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,4,2,N,N,N,-,전라북도 전주시 완산구 신봉로 74,전라북도 전주시 완산구 효자동1가 636-2,전라북도 전주시 완산구청,063-220-5156,35.808925,127.122111,2018-02-20
신일효친경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,44,11,2,2,N,N,N,-,전라북도 전주시 완산구 신봉로 51,전라북도 전주시 완산구 효자동1가 635-2,전라북도 전주시 완산구청,063-220-5156,35.810343,127.121265,2018-02-20
제일경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,52,13,3,1,N,N,N,-,전라북도 전주시 완산구 신봉로 52,전라북도 전주시 완산구 효자동1가 636-0,전라북도 전주시 완산구청,063-220-5156,35.809237,127.120392,2018-02-20
광진진주경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,3,2,N,N,N,-,전라북도 전주시 완산구 신봉로 64,전라북도 전주시 완산구 효자동1가 636-1,전라북도 전주시 완산구청,063-220-5156,35.808838,127.121249,2018-02-20
신촌경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,81,35,5,3,N,N,N,-,전라북도 전주시 완산구 안행5길 51,전라북도 전주시 완산구 효자동1가 122-26,전라북도 전주시 완산구청,063-220-5156,35.805355,127.130592,2018-02-20
